
==================================================
Resumen de: analisis_datos/datos_fase1
==================================================
                        Especie  audios_json  archivos_embeddings  segmentos_embeddings
                 Aburria aburri           17                   17                   534
             Accipiter collaris            1                    1                     9
             Accipiter striatus            1                    1                     1
        Accipiter superciliosus            1                    1                    15
            Accipiter ventralis            8                    8                    83
             Actitis macularius            5                    5                    16
          Adelomyia melanogenys           44                   44                   694
              Aegolius harrisii            3                    3                    96
          Aeronautes montivagus            3                    3                    28
         Aglaeactis cupripennis            3                    3                    65
         Aglaiocercus coelestis            6                    6                    37
            Aglaiocercus kingii            7                    7                    80
          Amaurolimnas concolor            2                    2                    26
               Amazilia tzacatl           16                   16                   109
              Amazona amazonica           16                   16                   182
             Amazona autumnalis            2                    2                    49
               Amazona farinosa           66                   66                  1541
                Amazona festiva            4                    4                    30
            Amazona mercenarius           33                   33                   444
           Amazona ochrocephala           45                   45                   806
            Ammonastes pelzelni           20                   20                   623
       Anabacerthia ruficaudata            1                    1                     3
     Anabacerthia striaticollis           35                   35                   245
     Anabacerthia variegaticeps            3                    3                    19
                    Anas andium            8                    8                    41
             Anas platyrhynchos            1                    1                    16
         Ancistrops strigilatus            1                    1                    17
            Andigena hypoglauca           14                   14                   147
         Andigena laminirostris           13                   13                   185
          Andigena nigrirostris           61                   61                  1120
         Androdon aequatorialis           10                   10                   159
                 Anhima cornuta           16                   16                   245
                Anhinga anhinga            6                    6                    31
                    Anser anser            1                    1                     7
                Anser cygnoides            1                    1                     4
        Anthocephala berlepschi            4                    4                    48
         Anthocephala floriceps            5                    5                    82
     Anthracothorax nigricollis            5                    5                    66
       Anthracothorax prevostii            1                    1                    10
              Antrostomus rufus            2                    2                    31
         Aprositornis disjuncta           12                   12                   236
                   Ara ararauna           11                   11                   195
               Ara chloropterus            3                    3                    27
                      Ara macao           15                   15                   142
                  Ara militaris           24                   24                   312
                    Ara severus           38                   38                   543
             Aramides axillaris            1                    1                     3
              Aramides cajaneus           29                   29                   484
                 Aramides wolfi            6                    6                   221
                Aramus guarauna           10                   10                   215
             Aratinga weddellii            2                    2                    33
                     Ardea alba            4                    4                    20
                    Ardea cocoi            4                    4                    71
                  Asio clamator           11                   11                   121
                  Asio flammeus            1                    1                    15
                   Asio stygius            4                    4                    53
            Asthenes flammulata           12                   12                    87
            Asthenes fuliginosa           24                   24                   301
              Asthenes perijana           15                   15                   224
                Asthenes wyatti           10                   10                   239
             Athene cunicularia            4                    4                    46
                   Attagis gayi            5                    5                    57
       Aulacorhynchus albivitta           86                   86                  2273
    Aulacorhynchus haematopygus           47                   47                  1061
        Aulacorhynchus sulcatus            5                    5                    60
           Automolus infuscatus            7                    7                   140
